Category,Title,Company,URL,Grade,Salary_min,Salary_max,Skills,City_List,Is_Remote
Front-end,"Frontend Developer (HTML, SCSS/SASS) з досвідом GSap",Rocket Company,https://jobs.dou.ua/companies/rocket-company/vacancies/349826/,Not Specified,1120.0,1600.0,"html, css",['Remote Only'],True
Front-end,"Middle/Senior Front-end Developer (JS, Angular)",Ardas,https://jobs.dou.ua/companies/ardas-group/vacancies/349818/,Middle,,,angular,['Remote Only'],True
Front-end,Програміст Frontend React JavaScript (JS),ДП «Інформаційні судові системи»,https://jobs.dou.ua/companies/ics/vacancies/311460/,Not Specified,,,"react, javascript",['Київ'],True
Front-end,Senior Frontend Developer (React Native),Gamingtec,https://jobs.dou.ua/companies/gamingtec/vacancies/344499/,Senior,,,react,['Remote Only'],True
Front-end,Frontend Developer (React),ALLSTARSIT,https://jobs.dou.ua/companies/allstars-it/vacancies/349544/,Not Specified,,,react,['Remote Only'],True
Front-end,Senior Frontend Developer (Angular),Bank Pivdenny,https://jobs.dou.ua/companies/pivdenny/vacancies/349440/,Senior,,,angular,['Одеса'],True
Front-end,Frontend Developer,Readeat,https://jobs.dou.ua/companies/readeat/vacancies/339196/,Not Specified,2000.0,2000.0,Not Specified,['Remote Only'],True
Front-end,Front-End Developer / Game Developer (Pixi.js),BePlay,https://jobs.dou.ua/companies/beplay/vacancies/349237/,Not Specified,,,Not Specified,['Remote Only'],True
Front-end,Frontend Engineer — Wix Editor,WiX,https://jobs.dou.ua/companies/wix/vacancies/344881/,Not Specified,,,Not Specified,['Київ'],False
Front-end,Frontend Engineer — AI Creation Team (Wix Harmony),WiX,https://jobs.dou.ua/companies/wix/vacancies/344699/,Not Specified,,,Not Specified,"['Київ', 'Дніпро']",False
Front-end,Senior Frontend Developer for Rocket Tech,GR8 Tech,https://jobs.dou.ua/companies/gr8-tech/vacancies/349188/,Senior,,,Not Specified,['Remote Only'],True
Front-end,Frontend Engineer — Editor Platform,WiX,https://jobs.dou.ua/companies/wix/vacancies/320654/,Not Specified,,,Not Specified,['Київ'],False
Front-end,Senior Frontend Developer (Vue.js),Dripify,https://jobs.dou.ua/companies/dripify/vacancies/349126/,Senior,,,vue,['Remote Only'],True
Front-end,Team Lead/Senior Front-End Developer,Attract Group,https://jobs.dou.ua/companies/attract-group/vacancies/348988/,Senior,,,Not Specified,['Remote Only'],True
Front-end,"Senior Front-End Vue.js Developer (UX-focused, design engineering)",NCube,https://jobs.dou.ua/companies/ncube/vacancies/348931/,Senior,,,vue,['Київ'],True
Front-end,Front-End Developer,DEVIRO,https://jobs.dou.ua/companies/deviro/vacancies/298249/,Not Specified,,,Not Specified,['Other'],False
Front-end,Front-end Developer (Vue.js),VoIPTime,https://jobs.dou.ua/companies/voiptime/vacancies/254797/,Not Specified,,,vue,['Львів'],False
Front-end,Middle Front End Engineer (Full-stack oriented),Matic,https://jobs.dou.ua/companies/matic/vacancies/348762/,Middle,,,Not Specified,['Львів'],False
Front-end,Front-end developer,"""ІНФОТЕХ""",https://jobs.dou.ua/companies/derzhavne-pidpriyemstvo-infoteh/vacancies/348760/,Not Specified,,,Not Specified,['Київ'],False
Front-end,Middle Front End Developer (React Native) (ID 391),HELSI,https://jobs.dou.ua/companies/tov-helsi-yua/vacancies/348743/,Middle,,,react,['Київ'],True
Front-end,Senior Frontend Developer,Realplayltd,https://jobs.dou.ua/companies/realplayltd/vacancies/348624/,Senior,,,Not Specified,['Other'],False
Front-end,Frontend engineer,Liven,https://jobs.dou.ua/companies/liven/vacancies/330021/,Not Specified,,,Not Specified,['Київ'],False
